วิชา,Question,Link 1,คำอธิบาย,วันเวลาหมดเขต,สถานะแก้ไขเองได้,คอลัมน์ 1
EVERYDAY ENGLISH,(Unit 2) Part 1: Vocabulary and reading,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 2) Part 1: Vocabulary and reading,,"7/2/2025, 23:59:00",,
EVERYDAY ENGLISH,(Unit 2) Part 2: Listening,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 2) Part 2: Listening,,"7/2/2025, 23:59:00",,
EVERYDAY ENGLISH,(Unit 2) Part 3: Grammar,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 2) Part 3: Grammar,,"7/2/2025, 23:59:00",,
EVERYDAY ENGLISH,(Unit 3) Part 1: Vocabulary,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/Unit 3) Part 1: Vocabulary,,"7/3/2025, 23:59:00",,
EVERYDAY ENGLISH,(Unit 3) Part 2: Grammar,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 3) Part 2: Grammar,,"7/3/2025, 23:59:00",,
EVERYDAY ENGLISH,(Unit (Unit 3) Part 3: Listening,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 3) Part 3: Listening,,"7/3/2025, 23:59:00",,
EVERYDAY ENGLISH,(Unit 3) Part 4: Reading,https://qs.doralaikon.site/allquestions/course/EVERYDAY ENGLISH/(Unit 3) Part 4: Reading,,"7/3/2025, 23:59:00",,
CALCULUS II,Assignment 1,,"📌เปิดให้ทำได้ตั้งแต่เวลา 0:00 น. ของวันที่ 9 ธันวาคม
ถึงเวลา 23:59 น. ของวันที่ 15 ธันวาคม 2567
📌แบบทดสอบมี 16 ข้อ 40 คะแนน คิดเป็น 4% ของคะแนนทั้งวิชา
📌ไม่จำกัดเวลาในการทำ Assignment
และสามารถย้อนกลับไปทบทวนหรือแก้ไขคำตอบข้อก่อนหน้าได้
📌ถ้าทำค้างไว้ สามารถ login เข้ามาใหม่เพื่อทำต่อได้ 
📌เมื่อทำเสร็จแล้ว ให้กดส่งที่   Submit all and finish 
📌ซึ่งเมื่อกดยืนยันการส่งแล้วจะไม่สามารถทำได้อีก
🚫ไม่อนุญาตให้ทำ Assignment หลังจากหมดช่วงเวลาที่กำหนดแล้วในทุกกรณี","9/12/2024, 23:59:00",อัพเดตคะแนนแล้ว,
CALCULUS II,Assignment 2,,"เปิดให้ทำได้ตั้งแต่เวลา 0:00 น. ของวันที่ 23 ธันวาคม
ถึงเวลา 23:59 น. ของวันที่ 29 ธันวาคม 2567
แบบทดสอบมี 12 ข้อ 30 คะแนน คิดเป็น 3% ของคะแนนทั้งวิชา

📌ไม่จำกัดเวลาในการทำ Assignment
และสามารถย้อนกลับไปทบทวนหรือแก้ไขคำตอบข้อก่อนหน้าได้
📌ถ้าทำค้างไว้ สามารถ login เข้ามาใหม่เพื่อทำต่อได้ 
📌เมื่อทำเสร็จแล้ว ให้กดส่งที่   Submit all and finish 
📌ซึ่งเมื่อกดยืนยันการส่งแล้วจะไม่สามารถทำได้อีก
🚫ไม่อนุญาตให้ทำ Assignment หลังจากหมดช่วงเวลาที่กำหนดแล้วในทุกกรณี",,อัพเดตคะแนนแล้ว,
CALCULUS II,Assignment 3,,"เปิดให้ทำได้ตั้งแต่เวลา 0:00 น. ของวันที่ 6 มกราคม
ถึงเวลา 23:59 น. ของวันที่ 12 มกราคม 2568
แบบทดสอบมี 7 ข้อ 27 คะแนน คิดเป็น 3% ของคะแนนทั้งวิชา

📌ไม่จำกัดเวลาในการทำ Assignment
และสามารถย้อนกลับไปทบทวนหรือแก้ไขคำตอบข้อก่อนหน้าได้
📌ถ้าทำค้างไว้ สามารถ login เข้ามาใหม่เพื่อทำต่อได้ 
📌เมื่อทำเสร็จแล้ว ให้กดส่งที่   Submit all and finish 
📌ซึ่งเมื่อกดยืนยันการส่งแล้วจะไม่สามารถทำได้อีก
🚫ไม่อนุญาตให้ทำ Assignment หลังจากหมดช่วงเวลาที่กำหนดแล้วในทุกกรณี",,อัพเดตคะแนนแล้ว,
ธรรมชาติบำบัด,Quiz (4%) หัวข้อความหมายและแนวคิดธรรมชาติบำบัด(ครั้งที่1-2),https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/หัวข้อความหมายและแนวคิดธรรมชาติบำบัด(ครั้งที่1-2),,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz (4%) หัวข้อสมุนไพรในงานสาธารณสุขมูลฐาน Ep. 2 (ครั้งที่ 3),https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/หัวข้อสมุนไพรในงานสาธารณสุขมูลฐาน Ep2 (ครั้งที่ 3),ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%),"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz (4%) หัวข้อสมุนไพรในงานสาธารณสุขมูลฐาน Ep. 3 (ครั้งที่ 4),https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/หัวข้อสมุนไพรในงานสาธารณสุขมูลฐาน Ep3 (ครั้งที่ 4),ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%),"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz (4%) หัวข้อสมุนไพรในงานสาธารณสุขมูลฐาน Ep. 4 (ครั้งที่ 5),https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/หัวข้อสมุนไพรในงานสาธารณสุขมูลฐาน Ep4 (ครั้งที่ 5),ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%),"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% Spa and Hydrotherapy,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/Spa and Hydrotherapy,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%),"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% หัวข้อ Aromatherapy,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/Aromatherapy,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% หัวข้อการประคบสมุนไพร,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/หัวข้อการประคบสมุนไพร,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% หัวข้อการแพทย์อินเดีย,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/หัวข้อการแพทย์อินเดีย,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 10 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,ข้อสอบกลางภาคธรรมชาติบำบัด,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/ข้อสอบกลางภาคธรรมชาติบำบัด,,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% หัวข้อ สีบำบัด,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/สีบำบัด,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 10 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% หัวข้อ ฤาษีดัดตน,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/ฤาษีดัดตน,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,"Quiz 4% หัวข้อผักพื้นบ้าน (EP.1 and EP.2)",https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/ผักพื้นบ้าน,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 12 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% อาหารสุขภาพ,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/อาหารสุขภาพ,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% สมาธิบำบัด,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/สมาธิบำบัด,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% การนวดตนเองและการนวดตนเองด้วยอุปกรณ์,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/การนวดตนเองและการนวดตนเองด้วยอุปกรณ์,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,Quiz 4% การกัวซาบำบัดโรค,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/กัวซา,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 8 ข้อ คิดเป็น 4 คะแนน (4%) ,"6/12/2026, 12:00:00",,
ธรรมชาติบำบัด,ข้อสอบปลายภาคธรรมชาติบำบัด,https://qs.doralaikon.site/allquestions/course/ธรรมชาติบำบัด/ข้อสอบปลายภาคธรรมชาติบำบัด,ให้นักศึกษาเลือกคำตอบที่ถูกต้องที่สุด ข้อสอบมี 56ข้อ คิดเป็น 20คะแนน (20%) ,"6/12/2026, 12:00:00",,
Digital Technology Literacy ,Software Quiz,https://qs.doralaikon.site/allquestions/course/Digital Technology Literacy/SoftwareQuiz,"มีการทำแบบทดสอบ ใน LMS จำนวน 1 ครั้ง

Post Test หลังการบรรยาย Software

กำหนดเวลาให้ทำแบบทดสอบ 30 นาที แบบทดสอบมีจำนวน 20 ข้อ

","13/12/2024, 13:00:00",,
Digital Technology Literacy ,Hardware Quiz,https://qs.doralaikon.site/allquestions/course/Digital Technology Literacy/HardwareQuiz,"เข้าทำได้ 1 ครั้ง
แบบทดสอบ 20 ข้อ มีเวลาทำ 30 นาที 
Post test ทำหลังการบรรยาย
หมดเขตส่งวันพฤหัสบดีที่ 12 ธันวาคม 2567 ก่อน 13.00 น.","12/12/2024, 13:00:00",,
Digital Technology Literacy ,Quiz เรื่อง Internet ,https://qs.doralaikon.site/allquestions/course/Digital Technology Literacy/QuizInternet,"-เข้าทำได้คนละ 1 ครั้ง

-มีจำนวน 20 ข้อ ให้เวลาทำ 30 นาที

-หมดเขตทำในวันศุกร์ที่ 20 ธันวาคม เวลา 13.00 น.","20/12/2024, 13:00:00",,
Digital Technology Literacy ,Data Analysis,https://qs.doralaikon.site/allquestions/course/Digital Technology Literacy/Data Analysis,"-เข้าทำได้คนละ 1 ครั้ง

-มีจำนวน 8 ข้อ ให้เวลาทำ 30 นาที

-หมดเขตทำในวันศุกร์ที่ 27 ธันวาคม เวลา 13.00 น.","27/12/2024, 13:00:00",,
"รักษ์โลก รักษ์เรา SAVE EARTH, SAVE US.",แบบทดสอบหลังเรียน หัวข้อ นิติวิทยาศาสตร์สิ่งแวดล้อม,,วันสุดท้าย (Deadline) ในการส่งงาน คือ ภายใน 20 ธันวาคม พ.ศ. 2567 (ก่อนเวลา 24:00 GMT+7)* ส่งผ่านระบบ LMS รายบุคคล,"20/12/2024, 23:59:00",,
"รักษ์โลก รักษ์เรา SAVE EARTH, SAVE US.",ผลิตภัณฑ์พอลิเมอร์ในชีวิตประจำวัน,https://qs.doralaikon.site/ผลิตภัณฑ์พอลิเมอร์ในชีวิตประจำวัน,,"27/12/2024, 23:59:00",,
"รักษ์โลก รักษ์เรา SAVE EARTH, SAVE US.",แนวคิดการจัดการเมือง การมุ่งสู่ Green city ,https://qs.doralaikon.site/Week 6 Green City,,"10/1/2025, 23:59:00",,
"รักษ์โลก รักษ์เรา SAVE EARTH, SAVE US.",ปัญหาหมอกควันภาคใต้,https://qs.doralaikon.site/allquestions/course/SAVE EARTH  SAVE US/Week 7 ปัญหาหมอกควันภาคใต้,,"31/1/2025, 23:59:00",,
"รักษ์โลก รักษ์เรา SAVE EARTH, SAVE US.",Green Thinking,https://qs.doralaikon.site/allquestions/course/SAVE EARTH  SAVE US/Week 8 Green Thinking,,"31/1/2025, 23:59:00",,
"รักษ์โลก รักษ์เรา SAVE EARTH, SAVE US.",เรียนรู้การเกิดและวิธีการรับมือกับภัยพิบัติต่างๆ,https://qs.doralaikon.site/allquestions/course/SAVE EARTH  SAVE US/Week 9 เรียนรู้การเกิดและวิธีการรับมือกับภัยพิบัติต่างๆ,,"31/1/2025, 23:59:00",,
